Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/ja/kb/new-thunderbird-60?locale=ja&version=60.3.1&channel=release&os=WINNT&buildid=20181113231517,"14,566","13,933",00:03:01,"11,844",1.35%,82.30%,$0.00
/ja/kb/thunderbird-import,"14,529","12,632",00:03:57,"10,652",27.78%,69.78%,$0.00
/fr/kb/fils-discussion-thunderbird,"14,496","13,028",00:05:12,"8,481",3.28%,79.56%,$0.00
/it/questions/new/thunderbird,"14,411","11,898",00:01:17,"8,579",40.94%,39.03%,$0.00
/cs/kb/pripojeni-objemnych-priloh-ke-zprave-skrze-ulozist,"14,302","11,674",00:05:50,"11,586",25.50%,80.90%,$0.00
/ja/kb/signatures,"14,279","13,001",00:06:05,"9,730",12.73%,83.47%,$0.00
/nl/kb/afzender-blokkeren,"14,250","11,088",00:03:05,"7,564",2.89%,65.65%,$0.00
/it/products/thunderbird/emails-thunderbird,"14,236","11,283",00:00:55,920,41.30%,23.37%,$0.00
/de/products/thunderbird/customize-controls-options-and-add-ons,"14,192","11,206",00:01:10,"1,049",76.45%,26.40%,$0.00
/fr/kb/differences-imap-pop3,"14,161","12,934",00:02:41,"6,407",6.45%,57.08%,$0.00
/en-US/kb/imap-synchronization,"14,135","13,254",00:04:34,"5,947",7.94%,60.37%,$0.00
/de/kb/exportieren-ihres-thunderbird-profils,"14,109","12,496",00:05:04,"9,185",4.70%,70.68%,$0.00
/es/kb/perfiles-de-thunderbird,"13,903","12,141",00:04:24,"7,298",6.53%,61.40%,$0.00
/ja/kb/permission-request-messages-thunderbird-extensions,"13,764","11,603",00:04:59,"10,390",17.39%,78.07%,$0.00
/nl/kb/externe-inhoud-in-berichten,"13,570","8,949",00:04:51,"8,079",7.19%,60.17%,$0.00
/fr/kb/mise-jour-de-thunderbird,"13,421","11,034",00:02:22,"5,873",5.84%,48.17%,$0.00
/de/kb/mehrere-profile-verwenden,"13,351","11,663",00:04:34,"5,730",4.93%,60.73%,$0.00
