Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/zh-CN/kb/Firefox 的选项、首选项和设置,"289,116","259,372",00:02:44,"231,858",28.78%,72.73%,$0.00
/es/products/firefox,"288,663","244,163",00:01:11,"196,661",62.13%,60.36%,$0.00
/de/users/auth,"282,333","246,485",00:02:13,"17,640",64.41%,64.13%,$0.00
/en-US/kb/refresh-firefox-reset-add-ons-and-settings,"279,889","228,945",00:02:24,"107,686",13.86%,57.25%,$0.00
/en-US/kb/update-firefox-latest-release?entrypoint=mozilla.org-whatsnew111,"279,784","224,933",00:02:08,"224,895",12.03%,74.67%,$0.00
/de/kb/wie-sie-zeitbezogene-fehler-auf-sicheren-websites-,"278,935","248,803",00:03:49,"242,584",48.94%,86.48%,$0.00
/en-US/kb/clear-cookies-and-site-data-firefox,"278,353","246,992",00:01:28,"190,498",10.22%,66.80%,$0.00
/en-US/kb/update-firefox-latest-release?entrypoint=mozilla.org-whatsnew113,"278,324","222,858",00:02:01,"222,822",11.52%,73.92%,$0.00
/en-US/kb/private-browsing-use-firefox-without-history,"277,118","241,391",00:01:56,"187,061",17.40%,69.37%,$0.00
/de/kb/gibt-firefox-meinen-standort-websites-frei?redirectslug=does-firefox-share-my-location-web-sites&redirectlocale=en-US,"270,304","244,025",00:02:06,"242,991",50.60%,89.15%,$0.00
/en-US/kb/how-change-your-default-browser-firefox-windows?redirectslug=how-change-your-default-browser-windows-10&redirectlocale=en-US,"267,457","246,372",00:05:46,"245,478",67.06%,90.87%,$0.00
/zh-CN/kb/如何针对安全网站的错误码进行故障排除,"267,279","237,845",00:03:25,"231,501",47.18%,85.95%,$0.00
/de/kb/berechtigungsdialoge-der-firefox-erweiterungen,"265,665","245,342",00:04:03,"224,760",24.28%,82.86%,$0.00
/zh-CN/,"264,976","139,742",00:00:47,"75,807",58.81%,30.08%,$0.00
/en-US/kb/extensions-private-browsing,"264,819","234,477",00:03:05,"214,417",32.86%,78.92%,$0.00
/es/kb/thunderbird-y-el-correo-basura,"261,806","216,656",00:03:35,"215,363",48.90%,81.82%,$0.00
/en-US/kb/update-firefox-latest-release?entrypoint=mozilla.org-whatsnew109,"259,587","208,383",00:02:05,"208,338",12.34%,74.11%,$0.00
/en-US/kb/install-older-version-firefox,"254,868","190,887",00:03:00,"165,444",12.14%,66.16%,$0.00
/en-US/kb/cookies-information-websites-store-on-your-computer,"248,156","187,934",00:03:09,"166,749",28.42%,59.15%,$0.00
/zh-CN/products/firefox/manage-preferences-and-add-ons-firefox/install-and-manage-add-ons,"246,195","217,291",00:02:03,"193,457",67.04%,66.97%,$0.00
/ru/kb/kak-ustranit-problemy-so-vremenem-na-zashishyonnyh,"244,816","214,467",00:03:25,"211,042",48.29%,85.22%,$0.00
/fr/kb/mettre-jour-firefox-derniere-version,"244,168","198,410",00:03:05,"146,874",10.38%,70.07%,$0.00
/pl/kb/ostrzezenie-o-haslach-niezabezpieczone-strony,"243,493","207,049",00:02:14,"206,389",57.90%,83.64%,$0.00
/en-US/kb/pop-blocker-settings-exceptions-troubleshooting,"243,111","216,358",00:03:37,"183,363",19.35%,82.37%,$0.00
/ru/kb/opredelenie-portala-zahvata,"242,327","222,321",00:05:33,"221,551",43.60%,90.91%,$0.00
/de/kb/add-on-badges-abzeichen,"239,839","213,404",00:02:43,"210,951",27.91%,82.45%,$0.00
/fr/kb/options-preferences-parametres-firefox,"239,255","207,383",00:02:41,"188,511",20.88%,63.66%,$0.00
/de/kb/privates-surfen-firefox-fuer-ios,"236,070","220,520",00:03:27,"219,538",49.02%,92.18%,$0.00
/zh-CN/kb/关于隐私浏览的常见误区,"235,901","187,928",00:01:39,"180,137",44.44%,74.08%,$0.00
/es/kb/como-solucionar-el-codigo-de-error-sec_error_unknown_issuer-paginas-seguras,"235,525","206,339",00:03:36,"193,033",37.08%,82.10%,$0.00
/de/kb/webseitendaten-einige-websites-mochten-dateien-auf?redirectslug=permission-store-data&redirectlocale=en-US,"235,270","221,729",00:04:09,"209,453",30.18%,87.46%,$0.00
/ru/products/thunderbird,"231,164","156,109",00:00:43,"149,089",77.11%,59.77%,$0.00
/en-US/kb/download-firefox-windows-microsoft-store,"231,011","207,353",00:02:24,"61,687",19.70%,68.19%,$0.00
/id/kb/koneksi-aman-gagal-dan-firefox-tidak-tersambung,"229,938","184,293",00:02:59,"179,645",37.25%,74.27%,$0.00
/es/kb/como-solucionar-problemas-de-error-de-fecha-y-hora-paginas-seguras,"228,571","198,210",00:03:31,"191,379",38.24%,83.07%,$0.00
/en-US/products/ios,"226,575","173,943",00:01:14,"136,438",48.64%,49.90%,$0.00
/fr/,"226,503","180,268",00:01:29,"127,855",67.68%,54.70%,$0.00
/zh-CN/kb/对时间相关错误进行故障排除,"225,331","203,253",00:02:54,"194,837",50.40%,85.42%,$0.00
/ja/products/firefox,"224,200","170,212",00:01:08,"149,193",69.72%,60.01%,$0.00
/en-US/kb/import-data-another-browser,"223,189","209,537",00:02:40,"184,343",35.55%,83.54%,$0.00
/ar/kb/secure-connection-failed-firefox-did-not-connect,"222,502","165,185",00:02:28,"158,561",30.31%,65.02%,$0.00
/en-US/kb/sponsor-privacy,"215,891","191,493",00:03:33,"188,846",36.51%,86.74%,$0.00
/en-US/kb/firefox-suggest,"210,030","179,433",00:03:20,"173,778",45.31%,81.04%,$0.00
/de/products/mobile,"209,631","152,680",00:01:47,"132,122",56.92%,57.39%,$0.00
/en-US/kb/websites-dont-load-troubleshoot-and-fix-errors,"209,221","189,713",00:01:56,"60,733",21.95%,56.11%,$0.00
/fr/users/auth,"209,056","182,084",00:02:10,"11,650",71.73%,63.33%,$0.00
/ja/kb/captive-portal,"207,917","192,356",00:04:43,"192,007",44.66%,91.91%,$0.00
/ru/products/firefox,"207,751","179,330",00:01:27,"150,090",74.36%,67.46%,$0.00
/es/kb/novedades-en-firefox-para-android,"205,773","172,900",00:03:13,"170,595",40.03%,78.12%,$0.00
/en-US/kb/connection-settings-firefox,"205,388","182,200",00:04:17,"147,825",13.97%,73.22%,$0.00
/ja/kb/moving-thunderbird-data-to-a-new-computer,"202,158","175,592",00:06:48,"157,830",7.75%,79.29%,$0.00
/pt-BR/products/thunderbird,"201,644","113,126",00:00:28,"109,768",78.60%,52.13%,$0.00
/th/kb/captive-portal,"201,263","186,958",00:06:06,"186,824",40.21%,92.49%,$0.00
/hu/kb/biztonsagos-kapcsolat-sikertelen-hibauzenet-kezele,"199,050","162,374",00:03:07,"161,225",47.53%,77.49%,$0.00
/zh-CN/kb/add-on-badges,"196,189","171,739",00:02:22,"167,849",36.87%,79.67%,$0.00
/en-US/kb/how-install-firefox-windows?redirectslug=how-download-and-install-firefox-windows&redirectlocale=en-US,"193,240","171,960",00:02:09,"148,672",7.88%,62.91%,$0.00
/en-US/kb/third-party-trackers,"192,371","175,592",00:03:39,"167,869",38.39%,84.26%,$0.00
/en-US/kb/windows-sso,"192,077","170,725",00:04:01,"164,677",12.43%,84.14%,$0.00
/fr/kb/nouveautes-firefox-android,"191,798","162,842",00:03:37,"160,571",38.95%,80.44%,$0.00
/es/,"191,183","150,336",00:01:06,"105,279",72.89%,56.48%,$0.00
/fr/kb/filelink-pour-les-pieces-jointes-volumineuses,"190,604","136,966",00:04:47,"133,105",16.10%,69.68%,$0.00
/es/kb/informacion-de-la-pagina-de-firefox?redirectslug=Page+Info+window&redirectlocale=en-US,"189,779","151,710",00:03:29,"120,566",27.12%,65.95%,$0.00
/en-US/kb/how-download-and-install-firefox-mac,"189,123","161,689",00:03:35,"149,039",9.62%,79.49%,$0.00
/zh-CN/kb/页面信息窗口?redirectslug=Page+Info+window&redirectlocale=en-US,"188,005","155,872",00:03:20,"121,217",31.05%,67.27%,$0.00
/de/kb/push-benachrichtigungen-firefox,"187,473","177,273",00:04:09,"171,417",34.49%,90.75%,$0.00
/en-US/kb/back-and-restore-information-firefox-profiles,"187,421","154,926",00:03:04,"83,460",5.71%,51.89%,$0.00
/en-US/kb/update-firefox-latest-release?entrypoint=mozilla.org-whatsnew110,"186,225","153,245",00:02:09,"153,221",11.70%,75.05%,$0.00
/en-US/kb/firefox-reader-view-clutter-free-web-pages,"185,781","157,005",00:01:44,"152,199",17.49%,78.28%,$0.00
/ru/kb/thunderbird-i-nezhelatelnye-spam-soobsheniya,"185,316","156,913",00:03:24,"156,091",47.31%,83.82%,$0.00
